employee_name,dateofhire,recruitmentsource,performancescore,empsatisfaction,hireyear
"Adinolfi, Wilson  K",05-07-2011,LinkedIn,Exceeds,5,2011
"Ait Sidi, Karthikeyan   ",30-03-2015,Indeed,Fully Meets,3,2015
"Akinkuolie, Sarah",05-07-2011,LinkedIn,Fully Meets,3,2011
"Alagbe,Trina",07-01-2008,Indeed,Fully Meets,5,2008
"Anderson, Carol ",11-07-2011,Google Search,Fully Meets,4,2011
"Anderson, Linda  ",09-01-2012,LinkedIn,Exceeds,5,2012
"Andreola, Colby",10-11-2014,LinkedIn,Fully Meets,3,2014
"Athwal, Sam",30-09-2013,Employee Referral,Fully Meets,4,2013
"Bachiochi, Linda",06-07-2009,Diversity Job Fair,Fully Meets,3,2009
"Bacong, Alejandro ",05-01-2015,Indeed,Fully Meets,5,2015
"Baczenski, Rachael  ",10-01-2011,Diversity Job Fair,Fully Meets,4,2011
"Barbara, Thomas",02-04-2012,Diversity Job Fair,Fully Meets,3,2012
"Barbossa, Hector",10-11-2014,Diversity Job Fair,Exceeds,4,2014
"Barone, Francesco  A",20-02-2012,Google Search,Fully Meets,4,2012
"Barton, Nader",24-09-2012,On-line Web application,Fully Meets,5,2012
"Bates, Norman",21-02-2011,Google Search,Fully Meets,4,2011
"Beak, Kimberly  ",21-07-2016,Employee Referral,Exceeds,3,2016
"Beatrice, Courtney ",04-04-2011,Google Search,Fully Meets,5,2011
"Becker, Renee",07-07-2014,Google Search,Fully Meets,4,2014
"Becker, Scott",08-07-2013,LinkedIn,Fully Meets,4,2013
"Bernstein, Sean",02-04-2012,Google Search,Fully Meets,3,2012
"Biden, Lowan  M",19-08-2013,Indeed,Fully Meets,3,2013
"Billis, Helen",07-07-2014,Indeed,Exceeds,3,2014
"Blount, Dianna",04-04-2011,CareerBuilder,Needs Improvement,3,2011
"Bondwell, Betsy",10-01-2011,Google Search,Fully Meets,5,2011
"Booth, Frank",17-02-2014,LinkedIn,Fully Meets,5,2014
"Boutwell, Bonalyn",16-02-2015,Diversity Job Fair,Fully Meets,4,2015
"Bozzi, Charles",30-09-2013,Indeed,Fully Meets,3,2013
"Brill, Donna",02-04-2012,Google Search,Fully Meets,4,2012
"Brown, Mia",27-10-2008,Diversity Job Fair,Fully Meets,2,2008
"Buccheri, Joseph  ",29-09-2014,Google Search,Fully Meets,3,2014
"Bugali, Josephine ",11-11-2013,Diversity Job Fair,Fully Meets,5,2013
"Bunbury, Jessica",15-08-2011,Google Search,Fully Meets,5,2011
"Burke, Joelle",05-03-2012,Employee Referral,Fully Meets,4,2012
"Burkett, Benjamin ",04-04-2011,Indeed,Fully Meets,5,2011
"Cady, Max ",15-08-2011,Google Search,Fully Meets,3,2011
"Candie, Calvin",28-01-2016,Indeed,Exceeds,3,2016
"Carabbio, Judith",11-11-2013,Indeed,Fully Meets,4,2013
"Carey, Michael  ",31-03-2014,LinkedIn,Fully Meets,3,2014
"Carr, Claudia  N",30-06-2016,LinkedIn,Fully Meets,5,2016
"Carter, Michelle ",18-08-2014,Indeed,Fully Meets,5,2014
"Chace, Beatrice ",29-09-2014,Google Search,Fully Meets,4,2014
"Champaigne, Brian",06-09-2016,Indeed,Fully Meets,5,2016
"Chan, Lin",12-05-2014,Indeed,Fully Meets,4,2014
"Chang, Donovan  E",08-07-2013,LinkedIn,Fully Meets,5,2013
"Chigurh, Anton",14-05-2012,Employee Referral,Fully Meets,5,2012
"Chivukula, Enola",27-06-2011,Indeed,Fully Meets,4,2011
"Cierpiszewski, Caroline  ",03-10-2011,Indeed,Fully Meets,5,2011
"Clayton, Rick",05-09-2012,Indeed,Fully Meets,3,2012
"Cloninger, Jennifer",16-05-2011,Google Search,Fully Meets,5,2011
"Close, Phil",30-08-2010,Indeed,Fully Meets,4,2010
"Clukey, Elijian",06-07-2016,Employee Referral,Exceeds,4,2016
